title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
Special Chabbis,2013,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,"['Crime', 'Drama', 'Thriller']",8.0,tt2377938,60687.0,['Neeraj Pandey'],"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Sheirgill']","['Crime', 'Drama', 'Thriller']","Crime, Drama, Thriller",['Neeraj Pandey'],Neeraj Pandey,"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Sheirgill']","Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,"A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers. Crime, Drama, Thriller Neeraj Pandey Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill"
Short Term 12,2013,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,['Drama'],7.9,tt2370248,93616.0,['Destin Daniel Cretton'],"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']",['Drama'],Drama,['Destin Daniel Cretton'],Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']","Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,"A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend. Drama Destin Daniel Cretton Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever"
Serbuan maut 2: Berandal,2014,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","['Action', 'Crime', 'Thriller']",7.9,tt2265171,135181.0,['Gareth Evans'],"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']","['Action', 'Crime', 'Thriller']","Action, Crime, Thriller",['Gareth Evans'],Gareth Evans,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']","Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force. Action, Crime, Thriller Gareth Evans Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
The Imitation Game,2014,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","['Biography', 'Drama', 'Thriller']",8.0,tt2084970,851470.0,['Morten Tyldum'],"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Allen Leech']","['Biography', 'Drama', 'Thriller']","Biography, Drama, Thriller",['Morten Tyldum'],Morten Tyldum,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Allen Leech']","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians. Biography, Drama, Thriller Morten Tyldum Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
Guardians of the Galaxy,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"['Action', 'Adventure', 'Comedy']",8.0,tt2015381,1313857.0,['James Gunn'],"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']","['Action', 'Adventure', 'Comedy']","Action, Adventure, Comedy",['James Gunn'],James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe. Action, Adventure, Comedy James Gunn Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
Blade Runner 2049,2017,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","['Action', 'Drama', 'Mystery']",8.0,tt1856101,710678.0,['Denis Villeneuve'],"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","['Action', 'Drama', 'Mystery']","Action, Drama, Mystery",['Denis Villeneuve'],Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years. Action, Drama, Mystery Denis Villeneuve Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
Her,2013,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","['Drama', 'Romance', 'Sci-Fi']",8.0,tt1798709,699860.0,['Spike Jonze'],"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara']","['Drama', 'Romance', 'Sci-Fi']","Drama, Romance, Sci-Fi",['Spike Jonze'],Spike Jonze,"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara']","Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need. Drama, Romance, Sci-Fi Spike Jonze Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara"
Bohemian Rhapsody,2000.5,"Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day.",['Dramas'],7.9,tt1727824,620958.0,[],[],['Dramas'],Dramas,[],,[],,"Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day.","Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day. Dramas  "
The Revenant,2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"['Action', 'Adventure', 'Drama']",8.0,tt1663202,909247.0,['Alejandro G. Iñárritu'],"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']","['Action', 'Adventure', 'Drama']","Action, Adventure, Drama",['Alejandro G. Iñárritu'],Alejandro G. Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team. Action, Adventure, Drama Alejandro G. Iñárritu Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
The Perks of Being a Wallflower,2012,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,"['Drama', 'Romance']",7.9,tt1659337,569333.0,['Stephen Chbosky'],"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']","['Drama', 'Romance']","Drama, Romance",['Stephen Chbosky'],Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",An introvert freshman is taken under the wings of two seniors who welcome him to the real world,"An introvert freshman is taken under the wings of two seniors who welcome him to the real world Drama, Romance Stephen Chbosky Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","['Action', 'Crime', 'Drama']",8.0,tt1555149,89372.0,['José Padilha'],"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']","['Action', 'Crime', 'Drama']","Action, Crime, Drama",['José Padilha'],José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']","Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups. Action, Crime, Drama José Padilha Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz"
The King's Speech,2010,"Britain's Prince Albert (Colin Firth) must ascend the throne as King George VI, but he has a speech impediment. Knowing that the country needs her husband to be able to communicate effectively, Elizabeth (Helena Bonham Carter) hires Lionel Logue (Geoffrey Rush), an Australian actor and speech therapist, to help him overcome his stammer. An extraordinary friendship develops between the two men, as Logue uses unconventional means to teach the monarch how to speak with confidence.","['Biography', 'Drama', 'History']",8.0,tt1504320,720684.0,['Tom Hooper'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']","['Biography', 'Drama', 'History']","Biography, Drama, History",['Tom Hooper'],Tom Hooper,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']","Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi","Britain's Prince Albert (Colin Firth) must ascend the throne as King George VI, but he has a speech impediment. Knowing that the country needs her husband to be able to communicate effectively, Elizabeth (Helena Bonham Carter) hires Lionel Logue (Geoffrey Rush), an Australian actor and speech therapist, to help him overcome his stammer. An extraordinary friendship develops between the two men, as Logue uses unconventional means to teach the monarch how to speak with confidence.","Britain's Prince Albert (Colin Firth) must ascend the throne as King George VI, but he has a speech impediment. Knowing that the country needs her husband to be able to communicate effectively, Elizabeth (Helena Bonham Carter) hires Lionel Logue (Geoffrey Rush), an Australian actor and speech therapist, to help him overcome his stammer. An extraordinary friendship develops between the two men, as Logue uses unconventional means to teach the monarch how to speak with confidence. Biography, Drama, History Tom Hooper Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi"
The Help,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",['Drama'],8.1,tt1454029,511531.0,['Tate Taylor'],"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard']",['Drama'],Drama,['Tate Taylor'],Tate Taylor,"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard']","Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis. Drama Tate Taylor Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard"
